Sl,Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd]
1,2020,1,14,0,0,55.58
2,2020,1,14,1,0,55.25
3,2020,1,14,2,0,55.2
4,2020,1,14,3,0,54.91
5,2020,1,14,4,0,54.24
6,2020,1,14,5,0,51.42
7,2020,1,14,6,0,49.02
8,2020,1,14,7,0,47.84
9,2020,1,14,8,0,48.57
10,2020,1,14,9,0,51
11,2020,1,14,10,0,53.99
12,2020,1,14,11,0,58.94
13,2020,1,14,12,0,62.7
14,2020,1,14,13,0,65.22
15,2020,1,14,14,0,67.04
16,2020,1,14,15,0,67.85
17,2020,1,14,16,0,67.83
18,2020,1,14,17,0,68.73
19,2020,1,14,18,0,67.6
20,2020,1,14,19,0,66.21
21,2020,1,14,20,0,64.27
22,2020,1,14,21,0,62.34
23,2020,1,14,22,0,60.63
24,2020,1,14,23,0,59.28
25,2020,1,15,0,0,58.37
26,2020,1,15,1,0,57.56
27,2020,1,15,2,0,56.82
28,2020,1,15,3,0,56.28
29,2020,1,15,4,0,57.18
30,2020,1,15,5,0,56.82
31,2020,1,15,6,0,55.65
32,2020,1,15,7,0,54.59
33,2020,1,15,8,0,57.02
34,2020,1,15,9,0,60.92
35,2020,1,15,10,0,65.1
36,2020,1,15,11,0,68.5
37,2020,1,15,12,0,70.68
38,2020,1,15,13,0,72.01
39,2020,1,15,14,0,72.46
40,2020,1,15,15,0,72.06
41,2020,1,15,16,0,71.79
42,2020,1,15,17,0,68.57
43,2020,1,15,18,0,68
44,2020,1,15,19,0,67.35
45,2020,1,15,20,0,66.52
46,2020,1,15,21,0,65.39
47,2020,1,15,22,0,64.29
48,2020,1,15,23,0,62.31
49,2020,1,16,0,0,60.6
50,2020,1,16,1,0,60.65
51,2020,1,16,2,0,60.58
52,2020,1,16,3,0,59.73
53,2020,1,16,4,0,59.63
54,2020,1,16,5,0,58.47
55,2020,1,16,6,0,57.77
56,2020,1,16,7,0,56.93
57,2020,1,16,8,0,58.91
58,2020,1,16,9,0,56.28
59,2020,1,16,10,0,55.43
60,2020,1,16,11,0,55.7
61,2020,1,16,12,0,55.61
62,2020,1,16,13,0,55.65
63,2020,1,16,14,0,56.46
64,2020,1,16,15,0,56.71
65,2020,1,16,16,0,56.31
66,2020,1,16,17,0,57.75
67,2020,1,16,18,0,57.48
68,2020,1,16,19,0,57.25
69,2020,1,16,20,0,57.2
70,2020,1,16,21,0,57.21
71,2020,1,16,22,0,57.11
72,2020,1,16,23,0,56.98
73,2020,1,17,0,0,56.85
74,2020,1,17,1,0,56.76
75,2020,1,17,2,0,56.62
76,2020,1,17,3,0,56.49
77,2020,1,17,4,0,56.46
78,2020,1,17,5,0,56.42
79,2020,1,17,6,0,56.03
80,2020,1,17,7,0,55.47
81,2020,1,17,8,0,56.55
82,2020,1,17,9,0,58.85
83,2020,1,17,10,0,60.69
84,2020,1,17,11,0,62.4
85,2020,1,17,12,0,64.31
86,2020,1,17,13,0,65.78
87,2020,1,17,14,0,66.72
88,2020,1,17,15,0,67.1
89,2020,1,17,16,0,66.92
90,2020,1,17,17,0,65.04
91,2020,1,17,18,0,63.77
92,2020,1,17,19,0,62.76
93,2020,1,17,20,0,61.79
94,2020,1,17,21,0,60.54
95,2020,1,17,22,0,58.91
96,2020,1,17,23,0,57.27
97,2020,1,18,0,0,55.86
98,2020,1,18,1,0,54.86
99,2020,1,18,2,0,54.08
100,2020,1,18,3,0,53
101,2020,1,18,4,0,51.71
102,2020,1,18,5,0,50.81
103,2020,1,18,6,0,50.72
104,2020,1,18,7,0,50.88
105,2020,1,18,8,0,52.19
106,2020,1,18,9,0,54.53
107,2020,1,18,10,0,58.22
108,2020,1,18,11,0,61.61
109,2020,1,18,12,0,64.34
110,2020,1,18,13,0,65.94
111,2020,1,18,14,0,66.9
112,2020,1,18,15,0,67.2
113,2020,1,18,16,0,66.86
114,2020,1,18,17,0,66
115,2020,1,18,18,0,64.49
116,2020,1,18,19,0,62.79
117,2020,1,18,20,0,61.03
118,2020,1,18,21,0,59.84
119,2020,1,18,22,0,58.87
120,2020,1,18,23,0,58.04
121,2020,1,19,0,0,57.45
122,2020,1,19,1,0,57
123,2020,1,19,2,0,56.48
124,2020,1,19,3,0,55.7
125,2020,1,19,4,0,54.75
126,2020,1,19,5,0,53.47
127,2020,1,19,6,0,52.16
128,2020,1,19,7,0,50.77
129,2020,1,19,8,0,52.08
130,2020,1,19,9,0,57.14
131,2020,1,19,10,0,61.55
132,2020,1,19,11,0,64.61
133,2020,1,19,12,0,66.57
134,2020,1,19,13,0,68.07
135,2020,1,19,14,0,68.95
136,2020,1,19,15,0,69.18
137,2020,1,19,16,0,68.79
138,2020,1,19,17,0,65.71
139,2020,1,19,18,0,65.03
140,2020,1,19,19,0,63.91
141,2020,1,19,20,0,62.56
142,2020,1,19,21,0,60.92
143,2020,1,19,22,0,59.07
144,2020,1,19,23,0,57.05
145,2020,1,20,0,0,54.89
146,2020,1,20,1,0,53
147,2020,1,20,2,0,51.53
148,2020,1,20,3,0,50.34
149,2020,1,20,4,0,49.29
150,2020,1,20,5,0,48.38
151,2020,1,20,6,0,47.75
152,2020,1,20,7,0,47.17
153,2020,1,20,8,0,49.67
154,2020,1,20,9,0,55.14
155,2020,1,20,10,0,60.69
156,2020,1,20,11,0,65.1
157,2020,1,20,12,0,67.38
158,2020,1,20,13,0,68.99
159,2020,1,20,14,0,70.01
160,2020,1,20,15,0,70.39
161,2020,1,20,16,0,70.35
162,2020,1,20,17,0,68.34
163,2020,1,20,18,0,67.19
164,2020,1,20,19,0,66.36
165,2020,1,20,20,0,65.37
166,2020,1,20,21,0,64.61
167,2020,1,20,22,0,63.69
168,2020,1,20,23,0,62.7
169,2020,1,21,0,0,61.55
170,2020,1,21,1,0,60.94
171,2020,1,21,2,0,60.27
172,2020,1,21,3,0,59.68
173,2020,1,21,4,0,59.3
174,2020,1,21,5,0,59.12
175,2020,1,21,6,0,58.92
176,2020,1,21,7,0,58.64
177,2020,1,21,8,0,59.64
178,2020,1,21,9,0,63.77
179,2020,1,21,10,0,67.28
180,2020,1,21,11,0,69.69
181,2020,1,21,12,0,70.17
182,2020,1,21,13,0,71.31
183,2020,1,21,14,0,72.1
184,2020,1,21,15,0,72.41
185,2020,1,21,16,0,71.9
186,2020,1,21,17,0,69
187,2020,1,21,18,0,67.58
188,2020,1,21,19,0,67.04
189,2020,1,21,20,0,66.54
190,2020,1,21,21,0,65.73
191,2020,1,21,22,0,64.4
192,2020,1,21,23,0,62.88
193,2020,1,22,0,0,61.17
194,2020,1,22,1,0,59.57
195,2020,1,22,2,0,57.83
196,2020,1,22,3,0,56.04
197,2020,1,22,4,0,54.5
198,2020,1,22,5,0,53.29
199,2020,1,22,6,0,52.01
200,2020,1,22,7,0,50.81
201,2020,1,22,8,0,52.62
202,2020,1,22,9,0,58.73
203,2020,1,22,10,0,63.84
204,2020,1,22,11,0,68.99
205,2020,1,22,12,0,71.96
206,2020,1,22,13,0,73.68
207,2020,1,22,14,0,74.42
208,2020,1,22,15,0,74.33
209,2020,1,22,16,0,73.61
210,2020,1,22,17,0,69.18
211,2020,1,22,18,0,66.25
212,2020,1,22,19,0,63.5
213,2020,1,22,20,0,60.76
214,2020,1,22,21,0,58.29
215,2020,1,22,22,0,56.85
216,2020,1,22,23,0,55.61
217,2020,1,23,0,0,54.5
218,2020,1,23,1,0,53.49
219,2020,1,23,2,0,52.5
220,2020,1,23,3,0,51.74
221,2020,1,23,4,0,50.93
222,2020,1,23,5,0,49.65
223,2020,1,23,6,0,49.01
224,2020,1,23,7,0,48.45
225,2020,1,23,8,0,50.37
226,2020,1,23,9,0,54.23
227,2020,1,23,10,0,59.03
228,2020,1,23,11,0,63.57
229,2020,1,23,12,0,66.45
230,2020,1,23,13,0,68.36
231,2020,1,23,14,0,69.31
232,2020,1,23,15,0,69.63
233,2020,1,23,16,0,68.93
234,2020,1,23,17,0,67.28
235,2020,1,23,18,0,64.29
236,2020,1,23,19,0,61.44
237,2020,1,23,20,0,58.94
238,2020,1,23,21,0,56.8
239,2020,1,23,22,0,55.13
240,2020,1,23,23,0,53.63
241,2020,1,24,0,0,52.3
242,2020,1,24,1,0,51.24
243,2020,1,24,2,0,50.27
244,2020,1,24,3,0,49.24
245,2020,1,24,4,0,48.11
246,2020,1,24,5,0,47.03
247,2020,1,24,6,0,46.85
248,2020,1,24,7,0,46.58
249,2020,1,24,8,0,49.37
250,2020,1,24,9,0,53.67
251,2020,1,24,10,0,58.53
252,2020,1,24,11,0,63.55
253,2020,1,24,12,0,67.6
254,2020,1,24,13,0,70.43
255,2020,1,24,14,0,72.03
256,2020,1,24,15,0,72.87
257,2020,1,24,16,0,72.55
258,2020,1,24,17,0,70.7
259,2020,1,24,18,0,67.64
260,2020,1,24,19,0,65.04
261,2020,1,24,20,0,62.54
262,2020,1,24,21,0,59.99
263,2020,1,24,22,0,58.02
264,2020,1,24,23,0,55.94
265,2020,1,25,0,0,53.94
266,2020,1,25,1,0,51.9
267,2020,1,25,2,0,50.45
268,2020,1,25,3,0,49.28
269,2020,1,25,4,0,48.11
270,2020,1,25,5,0,47.04
271,2020,1,25,6,0,47.67
272,2020,1,25,7,0,48.59
273,2020,1,25,8,0,51.27
274,2020,1,25,9,0,55.74
275,2020,1,25,10,0,59.39
276,2020,1,25,11,0,63.12
277,2020,1,25,12,0,66.57
278,2020,1,25,13,0,69.2
279,2020,1,25,14,0,70.88
280,2020,1,25,15,0,71.69
281,2020,1,25,16,0,71.65
282,2020,1,25,17,0,70.37
283,2020,1,25,18,0,68.54
284,2020,1,25,19,0,66.75
285,2020,1,25,20,0,64.56
286,2020,1,25,21,0,61.73
287,2020,1,25,22,0,60.04
288,2020,1,25,23,0,59.03
289,2020,1,26,0,0,58.53
290,2020,1,26,1,0,58.08
291,2020,1,26,2,0,57.45
292,2020,1,26,3,0,56.57
293,2020,1,26,4,0,55.58
294,2020,1,26,5,0,54.46
295,2020,1,26,6,0,53.74
296,2020,1,26,7,0,53.36
297,2020,1,26,8,0,55.13
298,2020,1,26,9,0,58.85
299,2020,1,26,10,0,62.63
300,2020,1,26,11,0,66.56
301,2020,1,26,12,0,69.9
302,2020,1,26,13,0,72.37
303,2020,1,26,14,0,73.86
304,2020,1,26,15,0,74.46
305,2020,1,26,16,0,74.31
306,2020,1,26,17,0,73.04
307,2020,1,26,18,0,71.2
308,2020,1,26,19,0,69.11
309,2020,1,26,20,0,67.56
310,2020,1,26,21,0,65.48
311,2020,1,26,22,0,64
312,2020,1,26,23,0,62.51
313,2020,1,27,0,0,60.98
314,2020,1,27,1,0,59.55
315,2020,1,27,2,0,58.46
316,2020,1,27,3,0,57.79
317,2020,1,27,4,0,57.43
318,2020,1,27,5,0,56.96
319,2020,1,27,6,0,57.07
320,2020,1,27,7,0,57.02
321,2020,1,27,8,0,58.13
322,2020,1,27,9,0,61.19
323,2020,1,27,10,0,65.21
324,2020,1,27,11,0,68.55
325,2020,1,27,12,0,71.69
326,2020,1,27,13,0,73.76
327,2020,1,27,14,0,73.52
328,2020,1,27,15,0,74.64
329,2020,1,27,16,0,74.12
330,2020,1,27,17,0,72.86
331,2020,1,27,18,0,69.63
332,2020,1,27,19,0,66.32
333,2020,1,27,20,0,63.82
334,2020,1,27,21,0,62.54
335,2020,1,27,22,0,61.98
336,2020,1,27,23,0,61.48
337,2020,1,28,0,0,60.8
338,2020,1,28,1,0,59.99
339,2020,1,28,2,0,58.4
340,2020,1,28,3,0,57.97
341,2020,1,28,4,0,57.29
342,2020,1,28,5,0,57.07
343,2020,1,28,6,0,57.07
344,2020,1,28,7,0,56.96
345,2020,1,28,8,0,57.7
346,2020,1,28,9,0,60.89
347,2020,1,28,10,0,61.71
348,2020,1,28,11,0,63.3
349,2020,1,28,12,0,64.41
350,2020,1,28,13,0,66.79
351,2020,1,28,14,0,67.13
352,2020,1,28,15,0,68.1
353,2020,1,28,16,0,68.84
354,2020,1,28,17,0,68.97
355,2020,1,28,18,0,67.65
356,2020,1,28,19,0,67.26
357,2020,1,28,20,0,66.81
358,2020,1,28,21,0,66.05
359,2020,1,28,22,0,65.24
360,2020,1,28,23,0,64.54
